epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.548,0.9422,2.52961,1.32042,0.00333,1,0.34731,0.20619,0.85792,3.24777,1.7509,2e-05,2e-05,2e-05
2,40.035,1.23933,2.50724,1.53166,0.00333,1,0.47857,0.24859,0.825,3.22932,1.68685,5.802e-05,5.802e-05,5.802e-05
3,55.2958,1.08691,2.44907,1.51292,0.00333,1,0.61091,0.36041,0.76853,3.22991,1.61388,9.34e-05,9.34e-05,9.34e-05
4,71.2729,1.10782,2.24157,1.40912,0.00333,1,0.71865,0.46446,0.81497,3.20528,1.6088,0.00012614,0.00012614,0.00012614
5,86.4685,1.13041,2.03676,1.42586,0.00333,1,0.96227,0.67277,0.84717,3.1515,1.62696,0.00015624,0.00015624,0.00015624
6,102.073,1.02148,1.70948,1.35217,0.00333,1,0.96722,0.62177,0.9055,3.09349,1.61036,0.0001837,0.0001837,0.0001837
7,119.406,0.98728,1.47739,1.29799,0.00333,1,0.98167,0.61558,0.8908,3.05887,1.60778,0.00020852,0.00020852,0.00020852
8,136.058,0.9895,1.28228,1.32551,0.0065,1,0.92611,0.57979,0.9325,2.95296,1.59893,0.0002307,0.0002307,0.0002307
9,153.61,0.92029,1.2874,1.31197,0.07449,1,0.995,0.68887,0.92625,2.89164,1.65348,0.00025024,0.00025024,0.00025024
10,172.817,0.89184,1.17332,1.25468,0.99162,1,0.995,0.69985,0.80031,2.83235,1.59124,0.00026714,0.00026714,0.00026714
11,191.893,1.01666,1.20112,1.27912,1,0.4846,0.995,0.72403,0.80702,2.73074,1.5374,0.0002814,0.0002814,0.0002814
12,211.943,0.96826,1.18464,1.25114,1,0.37915,0.98167,0.70145,0.94071,2.69823,1.62482,0.00029302,0.00029302,0.00029302
13,231.747,1.07941,1.1338,1.27089,1,0.3548,0.96722,0.65134,1.07741,2.76452,1.74574,0.000302,0.000302,0.000302
14,247.758,0.88095,1.10344,1.28373,1,0.39671,0.945,0.64336,1.10075,2.76551,1.79839,0.00030834,0.00030834,0.00030834
15,264.026,0.8841,1.06328,1.17276,0.7153,0.75,0.90968,0.61489,1.08732,2.60733,1.79383,0.00031204,0.00031204,0.00031204
16,279.852,0.8625,1.08544,1.17133,0.76477,0.81648,0.945,0.66627,1.03695,2.3871,1.78293,0.0003131,0.0003131,0.0003131
17,295.432,0.7772,0.95515,1.13707,0.91812,1,0.995,0.71151,0.99645,2.1929,1.81231,0.00031152,0.00031152,0.00031152
18,311.317,0.87378,0.93532,1.17821,0.9024,1,0.995,0.69254,1.04975,2.15391,1.89161,0.0003073,0.0003073,0.0003073
19,327.322,0.77087,0.92228,1.13846,0.94962,1,0.995,0.69382,1.07751,2.20141,1.94131,0.00030044,0.00030044,0.00030044
20,343.257,0.83725,1.03234,1.17143,0.94365,1,0.995,0.71132,1.05743,2.23145,1.89748,0.00029094,0.00029094,0.00029094
21,359.577,0.86504,1.75141,1.29952,0.95373,1,0.995,0.71796,0.99655,2.15723,1.79952,0.0002788,0.0002788,0.0002788
22,375.984,0.77779,1.66857,1.24711,0.95252,1,0.995,0.71369,0.92488,2.07504,1.76963,0.00026402,0.00026402,0.00026402
23,392.163,0.75924,1.46244,1.16775,0.98616,1,0.995,0.71251,0.97174,2.0535,1.86328,0.0002466,0.0002466,0.0002466
24,408.039,0.71835,1.47069,1.19367,1,0.99985,0.995,0.73325,0.92256,2.21877,1.84864,0.00022654,0.00022654,0.00022654
25,423.792,0.72199,1.35113,1.19823,0.9592,1,0.995,0.72184,0.92942,2.33922,1.7572,0.00020384,0.00020384,0.00020384
26,439.477,0.78013,1.47786,1.18018,1,0.73597,0.995,0.69529,0.87791,2.45609,1.60914,0.0001785,0.0001785,0.0001785
27,454.983,0.80517,1.54731,1.17524,1,0.79934,0.995,0.72976,0.85718,2.41959,1.58356,0.00015052,0.00015052,0.00015052
28,472.86,0.67025,1.44182,1.14832,1,0.79934,0.995,0.72976,0.85718,2.41959,1.58356,0.0001199,0.0001199,0.0001199
29,492.372,0.69611,1.36836,1.12167,0.967,1,0.995,0.72813,0.88451,2.27408,1.63431,8.664e-05,8.664e-05,8.664e-05
30,509.859,0.69431,1.3054,1.13602,0.95946,1,0.995,0.72663,0.89827,2.17303,1.63881,5.074e-05,5.074e-05,5.074e-05
